id,totalTasks,atrasadas,naoAtrasadas
1,0,0,0
2,0,0,0
3,0,0,0
4,468,60,408
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,51,10,41
10,1372,226,1146
11,2,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1089,211,878
16,0,0,0
17,122,23,99
18,0,0,0
19,0,0,0
20,0,0,0
21,204,32,172
22,0,0,0
23,2,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,121,0,0
56,0,0,0
57,0,0,0
58,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,17,0,0
68,0,0,0
69,0,0,0
70,1,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,185,2,183
75,0,0,0
76,32,1,31
77,10,0,0
78,0,0,0
79,7,0,0
80,0,0,0
81,773,35,738
82,15,0,0
83,143,8,135
84,0,0,0
86,651,8,643
87,0,0,0
88,0,0,0
89,0,0,0
90,5,0,0
91,0,0,0
92,40,1,39
93,4,0,0
94,0,0,0
96,0,0,0
98,227,33,194
99,12,3,9
100,0,0,0
101,135,16,119
102,0,0,0
103,1,1,0
104,4,0,0
105,0,0,0
106,24,4,20
107,39,3,36
108,585,103,482
109,271,70,201
110,14,1,13
111,139,13,126
112,273,14,259
113,2,0,0
114,0,0,0
115,3,1,2
116,754,197,557
117,45,2,43
118,658,314,344
119,57,3,54
120,280,159,121
121,0,0,0
122,74,7,67
123,88,2,86
124,39,13,26
125,486,20,466
126,33,1,32
127,202,110,92
128,662,215,447
129,0,0,0
130,2,1,1
131,7,4,3
132,0,0,0
133,0,0,0
134,481,183,298
135,0,0,0
136,194,66,128
137,140,7,133
138,1511,795,716
139,352,9,343
140,550,62,488
141,285,12,273
144,548,116,432
145,9,7,2
146,6,0,0
148,0,0,0
149,162,1,161
150,38,33,5
151,11,1,10
153,32,3,29
154,18,5,13
155,11,2,9
156,81,0,0
157,2,0,0
158,11,0,0
159,199,87,112
160,29,2,27
161,7,0,0
162,124,60,64
164,99,3,96
165,20,0,0
167,4,0,0
168,56,1,55
169,320,99,221
170,1,0,0
174,57,0,0
175,176,12,164
178,0,0,0
181,203,26,177
182,0,0,0
184,32,7,25
186,29,0,0
187,6,0,0
189,2,1,1
190,0,0,0
191,0,0,0
